系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
One系列,1,One-x9,15,15,15,10,
One系列,2,One-a9,20,10,10,10,
One系列,3,One me (m9w),15,15,15,15,
One系列,4,One me (m9t/ew),15,15,15,15,
One系列,5,One m8,10,10,10,10,
One/M系列,6,M9+ (m9pw),10,10,10,10,
M/E系列,1,M9+ (m9pt),10,10,10,10,
M/E系列,2,M8美版/w,10,10,10,10,
M/E系列,3,M8sw,10,10,10,10,
M/E系列,4,M8e,10,10,10,10,
M/E系列,5,E9+(pw/pt),10,10,10,10,
M/E系列,6,E9 (w/t),10,10,10,10,
Desire/D系列,1,Desire 10pro,25,25,25,15,
Desire/D系列,2,D830双卡,7,7,7,7,
Desire/D系列,3,D728,8,8,8,8,
Desire/D系列,4,D626,15,15,15,15,
Desire/D系列,5,D530u,8,8,8,8,
Desire/D系列,6,826w/t,10,10,10,10,
8系列经典款,1,826d,10,10,10,10,
8系列经典款,2,820u/t,10,10,10,10,
8系列经典款,3,820s/ts/us,10,10,10,10,
8系列经典款,4,820mini,10,10,10,10,
8系列经典款,5,816/t/w,10,10,10,10,
8系列经典款,6,803/8060,10,10,10,10,
8系列经典款,7,802t/d/w,8,8,8,8,
8系列经典款,8,8088,8,8,8,8,
