系列,序号,型号,开机靓好,开机屏坏,不开机,废板·整机,备注
X系列,1,Realme X7Pro至尊版,170,170,170,170,
X系列,2,Realme X7Pro,170,170,170,170,
X系列,3,Realme x7,170,170,170,170,
X系列,4,Realme x50pro玩家版,170,170,170,170,
X系列,5,Realme X50pro,135,135,135,135,
X系列,6,Realme X50m,170,170,170,170,
X系列,1,Realme x50,170,170,170,170,
X系列,2,Realme x2Pro,135,135,135,135,
X系列,3,Realme x2,135,135,135,135,
X系列,4,Realme XT,125,125,125,125,
X系列,5,Realme X,125,125,125,125,
X系列,6,Realme X青春,125,125,125,125,
Neo系列,1,Realme Neo7 Turbo,190,190,180,180,
Neo系列,2,Realme GT neo7 X,190,190,180,180,
Neo系列,3,Realme GT neo7 se,190,190,180,180,
Neo系列,4,Realme GT neo7,190,190,180,180,
Neo系列,5,Realme GT neo6,190,190,190,190,
Neo系列,6,Realme GT neo6 se,190,190,190,190,
Neo系列,1,Realme GT neo5 se,190,190,190,190,
Neo系列,2,Realme GT neo5,190,190,190,190,
Neo系列,3,Realme GT neo3,160,160,160,160,
Neo系列,4,Realme GT Neo 2T,160,160,160,160,
Neo系列,5,Realme GT Neo2,160,160,160,160,
Neo系列,6,Realme GT Neo闪速版,140,140,140,140,
Neo系列,7,Realme GT Neo,140,140,140,140,
V系列,1,Realme V70s,150,150,150,150,
V系列,2,Realme V70,150,150,150,150,
V系列,3,Realme V60pro,150,150,150,150,
V系列,4,Realme V60s,150,150,150,150,
V系列,5,Realme V60,150,150,150,150,
V系列,6,Realme v50s,150,150,150,150,
V系列,1,Realme v50,150,150,150,150,
V系列,2,Realme v25,200,200,200,200,
V系列,3,Realme v30,175,175,175,175,
V系列,4,Realme v23i,160,160,160,160,
V系列,5,Realme v23,160,160,160,160,
V系列,6,Realme v20,175,175,175,175,
V系列,1,Realme V15,175,175,175,175,
V系列,2,Realme V13,170,170,170,170,"正常带货，没挑过"
V系列,3,Realme V11s,165,165,165,165,
V系列,4,Realme V11,165,165,165,165,
V系列,5,Realme V5,160,160,160,160,
V系列,6,Realme V3,165,165,165,165,
Q系列,1,Realme Q5Pro,160,160,160,160,
Q系列,2,Realme Q5i,160,160,160,160,
Q系列,3,Realme Q5,160,160,160,160,
Q系列,4,Realme Q3Pro狂欢版,160,160,160,160,
Q系列,5,Realme Q3 Pro,160,160,160,160,
Q系列,6,Realme Q3S,160,160,160,160,
Q系列,1,Realme Q3T,160,160,160,160,
Q系列,2,Realme Q3i,160,160,160,160,
Q系列,3,Realme Q3,160,160,160,160,
Q系列,4,Realme Q2Pro,160,160,160,160,
Q系列,5,Realme Q2i,160,160,160,160,
Q系列,6,Realme Q2,160,160,160,160,
Q系列,7,Realme Q,120,120,120,120,
C系列,1,Realme C31,30,30,30,30,
C系列,2,Realme C11,80,80,80,80,
C系列,3,Realme C3,60,60,60,60,
C系列,4,Realme C2,60,60,60,60,
GT系列,1,Realme GT8,280,280,280,170,
GT系列,2,Realme GT8 Pro,280,280,280,170,
GT系列,3,Realme GTNEO8,300,300,300,200,
GT系列,4,Realme GT7pro竞速版,190,190,190,190,
GT系列,5,Realme GT7pro,190,190,190,190,
GT系列,6,Realme GT7,190,190,190,190,
GT系列,1,Realme GT6,190,190,190,190,
GT系列,2,Realme GT 5pro,190,190,190,190,
GT系列,3,Realme GT 5,190,190,190,190,
GT系列,4,Realme GT2 PRO,160,160,160,160,
GT系列,5,Realme GT2t,160,160,160,160,
GT系列,6,Realme gt2大师探索版,160,160,160,160,
GT系列,1,Realme GT2,160,160,160,160,
GT系列,2,Realme GT大师探索版,160,160,160,160,
GT系列,3,Realme GT大师版,160,160,160,160,
GT系列,4,Realme GT,160,160,160,160,
数字系列,1,realme15T,280,280,280,170,
数字系列,2,realme15,280,280,280,170,
数字系列,3,realme15 Pro,280,280,280,170,
数字系列,4,realme14pro+,190,190,190,190,
数字系列,5,realme14pro,190,190,190,190,
数字系列,6,realme14,190,190,190,190,
数字系列,1,realme13pro至尊,190,190,190,190,
数字系列,2,realme13pro+,190,190,190,190,
数字系列,3,realme13pro,190,190,190,190,
数字系列,4,realme13,190,190,190,190,
数字系列,5,realme12pro+,170,170,170,170,
数字系列,6,realme12pro至尊,170,170,170,170,
数字系列,1,realme12pro,170,170,170,170,
数字系列,2,realme12x,170,170,170,170,
数字系列,3,realme11 Pro+,170,170,170,170,
数字系列,4,realme11 Pro,170,170,170,170,
数字系列,5,Realme 11,170,170,170,170,
数字系列,6,Realme 10Pro+,170,170,170,170,
数字系列,1,Realme 10Pro,170,170,170,170,
数字系列,2,Realme 10,140,140,140,140,
数字系列,3,Realme 10s,140,140,140,140,
数字系列,4,Realme 7i,110,110,110,110,
