系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机,备注
X Fold系列,1,x fold5,1100,900,500,350,150,150,"要求外小屏好，折痕大扣1500，前盖好"
X Fold系列,2,x fold3pro,400,150,150,150,150,150,"要求小屏好，前盖好"
X Fold系列,3,x fold3,400,150,150,150,150,150,"要求小屏好，前盖好"
X Fold系列,4,X Fold2,260,150,150,150,150,150,"要求小屏好，靓好"
X Fold系列,5,X Fold+,200,150,150,150,150,150,
X Fold系列,6,X Fold,180,150,150,150,150,150,
X/Note系列,1,X Note,150,150,150,150,150,150,
X/Flip系列,2,X flip,200,150,150,150,150,150,"要求小屏好，靓好"
X旗舰系列,3,x300s,1600,1200,1200,1000,300,300,
X旗舰系列,4,x300 Pro,2000,1300,1300,1200,300,300,
X旗舰系列,5,x300,1600,1200,1200,1000,300,300,
X旗舰系列,6,x200ultra,1200,1100,1000,900,150,150,
X旗舰系列,1,x200pro,1100,1000,800,600,150,150,镜头环扣300
X旗舰系列,2,x200pro mini(耳屏),1200,1100,1000,800,150,150,镜头环扣300
X旗舰系列,3,x200,1100,900,900,600,150,150,镜头环扣300
X旗舰系列,4,X200s,1200,1000,1000,800,150,150,
X旗舰系列,5,x100Ultra,1100,1000,900,750,150,150,
X旗舰系列,6,x100s,1000,800,550,550,150,150,
X旗舰系列,1,X100pro,1000,900,700,700,150,150,
X旗舰系列,2,x100,800,650,500,500,150,150,"慢生坏，机芯无进水无磕碰【备注一】无进水不开机要求电好，碰死，碎压扣300"
X旗舰系列,3,x90 pro,200,200,200,200,200,200,
X旗舰系列,4,X90S,200,200,200,200,200,200,
X旗舰系列,5,X90,200,200,200,200,200,200,
X旗舰系列,6,X80 Pro,200,200,200,200,200,200,
X旗舰系列,1,X80,200,200,200,200,200,200,
X旗舰系列,2,x70pro+,210,210,210,210,210,210,"【备注一】未拆标靓板无水泡/无进水折痕微水泡扣50，反常发黑水泡扣50。连体坏、进水、拆标当损坏"
X旗舰系列,3,x70pro,210,210,210,210,210,210,详见备注一
X旗舰系列,4,x70t,175,175,175,175,175,175,详见备注一
X旗舰系列,5,x70,175,175,175,175,175,175,详见备注一
X旗舰系列,6,x60曲屏,150,150,150,150,150,150,
X旗舰系列,1,x60pro+,150,150,150,150,150,150,详见备注一
X旗舰系列,2,x60pro,150,150,150,150,150,150,
X旗舰系列,3,x60t pro,150,150,150,150,150,150,详见备注一
X旗舰系列,4,x60t,150,150,150,150,150,150,详见备注一
X旗舰系列,5,x60,150,150,150,150,150,150,
X旗舰系列,6,x50pro+,150,150,150,150,150,150,详见备注一
X旗舰系列,7,x50pro,150,150,150,150,150,150,
X系列,1,X50 (8+128),175,175,175,175,175,175,
X系列,2,X50 (8+256),230,230,230,230,230,230,
X系列,3,X30 pro (8+128),175,175,175,175,175,175,
X系列,4,X30Pro (8+256),230,230,230,230,230,230,
X系列,5,X30 (8+128),175,175,175,175,175,175,
X系列,6,X30 (8+256),230,230,230,230,230,230,
X系列,1,x27pro,230,230,230,230,230,230,三星屏
X系列,2,x27(8+256),230,230,230,230,230,230,要配对后置
X系列,3,x27(8+128),175,175,175,175,175,175,x27未配对定试
X系列,4,X23,175,175,175,175,175,175,三星屏
X系列,5,X23a,175,175,175,175,175,175,三星屏
X系列,6,X23幻彩版,185,185,185,185,185,185,要求骨架后壳
X系列,1,X21,185,185,185,185,185,185,"三星屏，中框与后盖好"
X系列,2,X21a,185,185,185,185,185,185,中框拧完扣钱
X系列,3,X21a ud,185,185,185,185,185,185,"三星屏，宁框完扣钱"
X系列,4,X21i (低配),80,80,80,80,80,80,三星屏
X系列,5,X21i (高配),180,180,180,180,180,180,
X系列,6,X21i A (低配),80,80,80,80,80,80,三星屏
X系列,1,X21i a (高配),180,180,180,180,180,180,
X系列,2,X21s,185,185,185,185,185,185,三星屏
X系列,3,X21ud,185,185,185,185,185,185,"三星屏，中框要好"
X系列,4,X20,175,175,175,175,175,175,"要求屏幕原装机，三星屏"
X系列,5,X20a,175,175,175,175,175,175,"要求屏幕原装机，三星屏"
X系列,6,X20plus,130,130,130,130,130,130,三星屏
X系列,1,X20plus a ud,130,130,130,130,130,130,三星屏
X系列,2,x20plus ud,130,130,130,130,130,130,三星屏
X系列,3,X9,135,135,135,135,135,135,三星屏
X系列,4,x9 plus ta,70,70,70,70,70,70,
X系列,5,x9i,135,135,135,135,135,135,
X系列,6,x9l,135,135,135,135,135,135,三星屏
X系列,1,X9Plus,70,70,70,70,70,70,
X系列,2,X9Plus l,70,70,70,70,70,70,
X系列,3,X9s,70,70,70,70,70,70,三星屏
X系列,4,X9s plus a,70,70,70,70,70,70,三星屏
X系列,5,X9s plus,70,70,70,70,70,70,三星屏
