【备注一】通用评估标准 ：未拆标、靓板、无水泡、无进水；折痕轻微水泡扣50，反常发黑水泡扣50。连体坏、进水、已拆标当损坏机处理。,,,,,,,,,
【备注二】功能机/老款标准 ：未拆标且成色好；能正常开机进系统测试，支架不流水、不脱胶割裂；如触摸坏当外壳坏，断线无背光当损坏，连体坏当损坏。,,,,,,,,,
【备注三】比例要求 ：要求正常通话比例。若比例不正常或指定单抽买板，按外单价格或另议。,,,,,,,,,
 国产屏/ 深板整机说明 ：末尾“点数系列”多为老款机型，后两列分别对应不开机与国产屏/整机回收价；其他机型第六列统一为“深板·整机”。 ,,,,,,,,,
================================================================================,,,,,,,,,
 系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机/国产,备注
Find系列,1,Find X9 Ultra 5G,2400,2000,1500,1000,450,450,
Find系列,2,Find X9s Pro,2200,1700,1300,1000,250,250,
Find系列,3,Find X9 Pro,1800,1300,1100,900,250,250,
Find系列,4,Find X9,1800,1200,1000,800,250,250,
Find系列,5,Find X8 Ultra 卫星通信版 5G,1100,900,750,600,150,150,
Find系列,6,Find X8 Ultra,900,800,700,550,150,150,
Find系列,1,FindX8s,900,700,500,450,150,150,
Find系列,2,Find X8+,900,700,500,450,150,150,
Find系列,3,FindX8pro,1100,1000,800,600,170,150,镜头环扣350
Find系列,4,Findx8,1000,800,600,500,170,150,镜头环扣350
Find系列,5,Find X7 Ultra,650,530,350,350,150,150,镜头环扣200
Find系列,6,Find X7,500,430,300,300,150,150,镜头环扣200
Find系列,1,Find X6 Pro,350,260,260,260,150,150,镜头环扣150
Find系列,2,Find X6,300,240,240,240,150,150,镜头环扣150
Find系列,3,Find X 5Pro,200,200,200,200,200,200,
Find系列,4,Find X 5,200,200,200,200,200,200,
Find系列,5,Find X 3Pro 摄影师版,170,170,170,170,170,170,详见备注一
Find系列,6,Find X 3Pro,170,170,170,170,170,170,详见备注一
Find系列,1,Find X 3,170,170,170,170,170,170,详见备注一
Find系列,2,Find X 2pro,170,170,170,170,170,170,详见备注一
Find系列,3,Find X 2,150,150,150,150,150,150,详见备注一
Find系列,4,find n3 flip,900,800,150,150,150,150,要求小屏好，前盖好
Find系列,5,Find N5,3500,1700,800,500,200,150,要求小屏好
Find系列,6,Find N 6,4200,2200,1000,650,200,200,
