系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
Turbo/Ace系列,1,一加Turbo 6x Pro,1100,650,200,200,
Turbo/Ace系列,2,一加Turbo 6x,1100,600,200,200,
Turbo/Ace系列,3,一加Turbo 6,1100,650,200,200,
Turbo/Ace系列,4,一加Turbo 6v,1100,650,200,200,
Turbo/Ace系列,5,一加Ace6 至尊,1100,650,300,300,
Turbo/Ace系列,6,一加Ace6T,1100,650,300,300,
Ace系列,1,一加Ace6,1100,650,300,300,
Ace系列,2,一加Ace5pro,550,500,300,300,
Ace系列,3,一加Ace5 竞速版,1,1,1,1,
Ace系列,4,一加Ace5,450,300,300,300,
Ace系列,5,一加Ace3pro,400,300,300,300,
Ace系列,6,一加ACE3V,400,300,300,300,
Ace/Nord系列,1,一加ACE3,400,300,300,300,
Ace/Nord系列,2,一加 ACE2V,400,310,310,300,
Ace/Nord系列,3,一加ace2pro,400,300,300,300,
Ace/Nord系列,4,一加ACE2,400,300,300,300,
Ace/Nord系列,5,一加ACEPro,350,260,240,200,
Ace/Nord系列,6,一加ACE,180,180,180,180,
Ace/Nord系列,7,一加ACE竞速版,200,200,200,200,
Ace/Nord系列,8,1+nord2,90,90,50,50,
Ace/Nord系列,9,1+nord N100 外版,80,80,80,80,
数字旗舰系列,1,1+15t,1500,900,350,300,
数字旗舰系列,2,1+15,2500,1500,350,300,
数字旗舰系列,3,1+13t,700,500,350,300,
数字旗舰系列,4,1+13,650,500,400,300,
数字旗舰系列,5,1+12,450,350,350,300,
数字旗舰系列,6,1+11,240,240,200,200,
数字旗舰系列,1,1+10Pro,220,180,130,130,
数字旗舰系列,2,1+9Pro,200,160,130,130,
数字旗舰系列,3,1+9RT,200,160,130,130,
数字旗舰系列,4,1+9R,130,130,130,130,
数字旗舰系列,5,1+9,200,160,130,130,
数字旗舰系列,6,1+8pro,200,160,130,130,
数字旗舰系列,1,1+8t,130,130,130,130,
数字旗舰系列,2,1+8,130,130,130,130,
数字旗舰系列,3,1+7t Pro,90,90,90,90,
数字旗舰系列,4,1+7pro,90,90,90,90,
数字旗舰系列,5,1+7t,90,90,90,90,
数字旗舰系列,6,1+7,90,90,90,90,
数字经典系列,1,1+6t,80,80,80,80,
数字经典系列,2,1+6,80,80,80,80,
数字经典系列,3,1+5t,70,70,70,70,
数字经典系列,4,1+5,70,70,70,70,
数字经典系列,5,1+3,40,40,40,40,
数字经典系列,6,1+2,35,35,35,35,
数字经典系列,7,1+1,25,25,25,25,
