系列,序号,型号,开机屏好,开机屏好小老化,开机屏好大老化,开机屏坏,不开机屏好,不开机,废板-整机,备注
W系列,1,w25,4500,2200,,1800,1350,220,220,
W系列,2,w24,3200,2000,,1300,800,220,220,
W系列,3,W24flip,1300,1200,,400,300,180,90,
W系列,4,W23,1200,1000,,300,280,220,220,
W系列,5,w23flip,950,900,,250,220,90,90,
W系列,6,W22,1000,800,,600,220,220,220,
W系列,1,W2021,1400,280,1200,200,200,200,200,
W系列,2,W2020,600,150,500,150,150,150,150,
W系列,3,W2019,500,130,400,130,100,90,90,
W系列,4,W2018,300,200,220,30,180,30,30,
W系列,5,W2017,35,35,35,25,35,25,25,
W系列,6,W2016,15,15,15,15,15,15,15,
W系列,1,W2015,10,10,10,10,10,10,10,
W系列,2,W2014,10,10,10,10,10,10,10,
W系列,3,W2013,10,10,10,10,10,10,10,
W系列,4,W999,10,10,10,10,10,10,10,
N系列,1,Note20Ultra 5G水货,800,350,800,350,150,80,80,
N系列,2,Note20Ultra 5G,800,350,800,350,150,150,90,
N系列,3,Note 20 5G水货,400,300,400,280,80,80,50,
N系列,4,Note 20 5G,400,350,400,280,150,90,90,
N系列,5,Note10+ 5G/N9760,700,300,700,280,150,45,45,
N系列,6,Note10+N976v水货,700,300,600,240,130,50,50,
N系列,1,Note10/N9700,500,220,400,150,100,45,45,
N系列,2,Note10/N970n水货,400,200,350,140,130,45,45,
N系列,3,N9600/Note9,450,150,350,120,120,45,45,
N系列,4,n960v美版/Note9美,450,130,350,110,90,45,45,
N系列,5,N950u/pv/a/Note8美,350,120,320,70,70,20,20,
N系列,6,N9500/Note8,350,120,300,70,70,20,20,
N系列,1,N9500/Note8,300,120,300,70,70,20,20,
N系列,2,N9200港版/Note5港,50,30,50,20,20,20,20,
N系列,3,N9200活动版/Note5,50,30,50,20,20,20,20,
N系列,4,N9200/Note5,50,30,50,20,20,20,20,
N系列,5,n910f/t/u/Note4,15,15,15,15,15,15,15,
N系列,6,N910/06W/08v/915 W/Note4,15,15,15,15,15,15,15,
N系列,1,N9150/Note4,15,15,15,15,15,15,15,
N系列,2,n900a/p/t/uv/s/Note3,25,25,25,25,25,25,25,
N系列,3,N9008/8V/08s/Note3,25,25,25,25,25,25,25,
N系列,4,N9005/Note3,25,25,25,25,25,25,25,
N系列,5,N9002/6/9/Note3,25,25,25,25,25,25,25,
N系列,6,N900/Note3,25,25,25,25,25,25,25,
N系列,1,N7506v/09v/09/Note3min,25,25,25,25,25,25,25,
N系列,2,N7505/Note3mini,25,25,25,25,25,25,25,
N系列,3,N7100/08/02/09/Note2,25,25,25,25,25,25,25,
N系列,4,N7000,25,25,25,25,25,25,25,
N系列,5,Note7,30,30,30,30,30,30,30,
N系列,6,Note4韩国版,15,15,15,15,15,15,15,
J系列,1,J810,100,100,100,50,50,25,25,
J系列,2,J7109,20,20,20,10,15,10,10,
J系列,3,J7108,20,20,20,10,15,10,10,
J系列,4,J7008,13,13,13,13,13,13,13,
J系列,5,J700f,10,10,10,8,8,8,8,
J系列,6,J6,100,40,100,40,40,20,20,
J系列,1,J530f,10,10,10,8,8,8,8,
J系列,2,J530S,10,10,10,8,8,8,8,
J系列,3,J5108,25,25,25,10,10,10,10,
J系列,4,J500F,35,35,35,8,15,8,8,
J系列,5,J5008,13,13,13,13,13,13,13,
J系列,6,J3300,25,25,25,10,10,10,10,
J系列,7,J3119,15,15,15,10,10,10,10,
J系列,8,J3110,15,15,15,10,10,10,10,
J系列,9,J3109,15,15,15,10,10,10,10,
I系列,1,I9507v/08v/S4,25,25,25,25,25,25,25,
I系列,2,I9505/L720/S4,25,25,25,25,25,25,25,
I系列,3,I9500/02/08/09/S4,25,25,25,25,25,25,25,
I系列,4,I9300i/8i/9i/S3,25,25,25,25,25,25,25,
I系列,5,I9300/05/08/S3,25,25,25,25,25,25,25,
I系列,6,I939d/S3,25,25,25,25,25,25,25,
I系列,1,I9228,25,25,25,25,25,25,25,
I系列,2,I9220,25,25,25,25,25,25,25,
I系列,3,I9260,10,10,10,10,10,10,10,
I系列,4,I9208,10,10,10,10,10,10,10,
I系列,5,I9200,10,10,10,10,10,10,10,
I系列,6,I9192,10,10,10,10,10,10,10,
I系列,1,I9168,10,10,10,10,10,10,10,
I系列,2,I9158,10,10,10,10,10,10,10,
I系列,3,I9152,10,10,10,10,10,10,10,
I系列,4,I9128,10,10,10,10,10,10,10,
I系列,5,I9118,10,10,10,10,10,10,10,
I系列,6,I9100,20,20,20,20,20,20,20,
I系列,1,I9082,10,10,10,10,10,10,10,
I系列,2,I9060,10,10,10,10,10,10,10,
I系列,3,I8268,10,10,10,10,10,10,10,
I系列,4,I8262D,10,10,10,10,10,10,10,
I系列,5,I8190,10,10,10,10,10,10,10,
I系列,6,I8558,10,10,10,10,10,10,10,
I系列,1,I8552,10,10,10,10,10,10,10,
I系列,2,I869,10,10,10,10,10,10,10,
I系列,3,I829,10,10,10,10,10,10,10,
I系列,4,I535/L710/S3,25,25,25,25,25,25,25,
I系列,5,I377/I545/S4,25,25,25,25,25,25,25,
Fold系列,1,Z Fold7 (国行),4000,,,2100,1600,1600,240,240,
Fold系列,2,Z Fold6 (国行),3100,,,1900,900,700,220,220,
Fold系列,3,Z Fold6 (水货),2100,,,1600,900,400,170,170,
Fold系列,4,Z Fold5,1700,,,1300,700,230,230,230,
Fold系列,5,Z Fold5 (水货),1500,,,1100,500,230,230,230,
Fold系列,6,Z Fold4,1500,,,1100,400,230,230,230,
Fold系列,1,Z Fold4 (水货),1500,,,1100,220,230,230,230,
Fold系列,2,Z Fold3,1000,,,700,400,230,230,230,
Fold系列,3,Z Fold3 (水货),1000,,,700,400,230,230,230,看成色
Fold系列,4,Z Fold2,800,,,500,400,230,230,230,
Fold系列,5,Z Fold2 (水货),800,,,500,230,230,230,230,
Fold系列,6,Fold,450,,,450,230,230,230,230,
Fold系列,7,Fold (水货),450,,,450,230,230,230,230,
Flip系列,1,Z Flip5 (水货),900,,,800,190,190,190,190,
Flip系列,2,Z Flip5,900,,,800,190,190,190,190,
Flip系列,3,Z Flip4 (水货),600,,,400,190,190,190,190,断触
Flip系列,4,Z Flip4,600,,,400,190,190,190,190,
Flip系列,5,Z Flip3 (水货),400,,,400,190,190,190,190,
Flip系列,6,Z Flip3,400,,,400,190,190,190,190,看成色
