系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
综合/旗舰,1,中兴40 U,200,170,150,100,
综合/旗舰,2,40 Pro,150,130,100,100,
综合/旗舰,3,30 U,110,110,110,110,
综合/旗舰,4,30 PRO,110,110,110,110,
综合/旗舰,5,20PRO,110,110,110,110,
综合/旗舰,6,S30PRO 5G,110,110,110,110,
天机/远航,1,天机AXO20,110,110,110,110,
天机/远航,2,天机30,110,110,110,110,
天机/远航,3,天机10Pro5G,70,70,70,70,
天机/远航,4,远航41s,110,110,110,110,
天机/远航,5,远航41,110,110,110,110,
天机/远航,6,远航10,110,110,110,110,震动亮屏为开机
天机/远航/畅行,1,远航30,110,110,110,110,
天机/远航/畅行,2,天机11se,80,80,80,80,
天机/远航/畅行,3,天机10Pro,75,75,75,75,
天机/远航/畅行,4,远航30Pro+,110,110,110,110,
天机/远航/畅行,5,远航30Pro,110,110,110,110,
天机/远航/畅行,6,畅行30,85,85,85,85,
小鲜/经典,1,天机Mini,65,65,65,65,
小鲜/经典,2,Z999,70,70,70,70,
小鲜/经典,3,小鲜5s,20,20,20,20,
小鲜/经典,4,远航5,20,20,20,20,
小鲜/经典,5,小鲜5,20,20,20,20,
小鲜/经典,6,小鲜4,20,20,20,20,
星星/威武/远航,1,远航3,18,18,18,18,
星星/威武/远航,2,远航2,18,18,18,18,
星星/威武/远航,3,小鲜3,20,20,20,20,
星星/威武/远航,4,威武3,20,20,20,20,
星星/威武/远航,5,星星3,18,18,18,18,
星星/威武/远航,6,星星2,18,18,18,18,
星星/威武/远航,7,星星1,18,18,18,18,
星星/威武/远航,8,远航40Pro+,110,110,110,110,
星星/威武/远航,9,远航20Pro,110,110,110,110,
A系列(Axon),1,AXON 40 Ultra,300,260,200,150,开机屏坏的板不能压伤 小压也不行
A系列(Axon),2,Axon 40 Pro,180,160,150,100,
A系列(Axon),3,axon31,110,110,110,110,
A系列(Axon),4,axon30s,110,110,110,110,
A系列(Axon),5,AXON M,80,80,80,80,
A系列(Axon),6,A20,110,110,110,110,
A系列,1,Axon115G,80,80,80,80,
A系列,2,A2019Pro,75,75,75,75,
A系列,3,A2018,50,50,50,50,
A系列,4,A2017,50,50,50,50,
A系列,5,A2015,45,45,45,45,
A系列,6,A2P,20,20,20,20,
A系列,1,a7s,50,50,50,50,
A系列,2,A7,50,50,50,50,
A系列,3,A4,30,30,30,30,
A系列,4,A2,20,20,20,20,
A系列,5,A880,18,18,18,18,
A系列,6,axon30ultra,150,150,150,100,
A系列,7,axon20,110,110,110,110,
V系列,1,V1050,80,80,80,80,
V系列,2,V2022,80,80,80,80,
V系列,3,V2020 4G,80,80,80,80,
V系列,4,V2020,80,80,80,80,
V系列,5,V1000,80,80,80,80,
V系列,6,V890,80,80,80,80,
V系列,1,v7m,65,65,65,65,
V系列,2,V8,65,65,65,65,
V系列,3,v8pro,25,25,25,25,
V系列,4,V9,65,65,65,65,
V系列,5,V8mini,80,80,80,80,
V系列,6,V6,80,80,80,80,
点数系列,1,中兴畅行60,110,110,110,110,
点数系列,2,S30PRO,110,110,110,110,
点数系列,3,中兴畅行50,110,110,110,110,
点数系列,4,S30SE,110,110,110,110,
点数系列,5,S30,110,110,110,110,
点数系列,6,C2017,110,110,110,110,
点数系列,1,602,20,20,20,20,
点数系列,2,C2016,65,65,65,65,
点数系列,3,616,20,20,20,20,
点数系列,4,C880,20,20,20,20,
点数系列,5,S2014,20,20,20,20,
点数系列,6,Q7,20,20,20,20,
点数系列,1,Q5,20,20,20,20,
点数系列,2,清漾,18,18,18,18,
点数系列,3,958st(2+16),20,20,20,20,
点数系列,4,928dt,10,10,10,10,
点数系列,5,918st(1+8),10,10,10,10,
点数系列,6,9180,10,10,10,10,
点数系列,7,Q802c,10,10,10,10,
点数系列,8,302,10,10,10,10,
B系列(Blade),1,Blade 20 pro 5G,80,80,80,80,
B系列(Blade),2,Blade 20 5G,80,80,80,80,
B系列(Blade),3,B2019,35,35,35,35,
B系列(Blade),4,Ba601,20,20,20,20,
B系列(Blade),5,B2017,35,35,35,35,
B系列(Blade),6,Ba611t,20,20,20,20,
B系列(Blade),1,Ba611c,20,20,20,20,
B系列(Blade),2,Ba610t,20,20,20,20,
B系列(Blade),3,Ba610c,20,20,20,20,三星屏
B系列(Blade),4,Ba602,20,20,20,20,
B系列(Blade),5,Ba510,18,18,18,18,开机全好看外屏不破
B系列(Blade),6,Bv0730,65,65,65,65,三星屏
B系列(Blade),1,B2015,45,45,45,45,
B系列(Blade),2,Ba910金色,30,30,30,30,三星屏
B系列(Blade),3,Ba910银色,20,20,20,20,
B系列(Blade),4,B880,18,18,18,18,
B系列(Blade),5,Ba603双卡,15,15,15,15,
B系列(Blade),6,Ba603单卡,15,15,15,15,
B系列(Blade),7,Ba520,20,20,20,20,
