系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
数字系列(红魔),1,红魔9pro+,950,480,200,180,
数字系列(红魔),2,红魔9pro,900,480,200,180,
数字系列(红魔),3,红魔8spro+,800,700,200,180,
数字系列(红魔),4,红魔8pro+,700,450,200,180,
数字系列(红魔),5,红魔8pro,600,400,200,180,
数字系列(红魔),6,红魔7spro,500,350,200,180,
数字系列(红魔),1,红魔7S,400,280,200,180,
数字系列(红魔),2,红魔7Pro,400,240,180,150,
数字系列(红魔),3,红魔6spro,160,150,150,150,
数字系列(红魔),4,红魔7,300,240,180,180,
数字系列(红魔),5,红魔6R,120,100,100,100,
数字系列(红魔),6,红魔6,160,150,150,150,
数字系列(红魔),1,红魔5s,120,110,110,110,
数字系列(红魔),2,红魔3s,110,110,110,110,
数字系列(红魔),3,红魔3,110,110,110,110,
数字系列(红魔),4,红魔2,80,80,80,80,
数字系列(红魔),5,红魔1,80,80,80,80,
数字系列(红魔),6,红魔 5G,120,110,110,110,
Z系列,1,Z60 Ultra,400,300,200,200,
Z系列,2,z50s pro,300,200,200,200,
Z系列,3,Z50 Ultra,300,200,200,200,
Z系列,4,Z50,180,130,130,130,
Z系列,5,Z40s pro,260,200,200,200,
Z系列,6,努比亚 Z40Pro,300,200,150,130,
Z系列,1,Z30 Pro,280,180,150,130,
Z系列,2,Z20,120,60,60,60,
Z系列,3,Z18,55,55,55,55,
Z系列,4,Z18 mini,55,55,55,55,
Z系列,5,Z17,55,55,55,55,
Z系列,6,Z17s,55,55,55,55,
Z系列,1,Z17 minis,55,55,55,55,
Z系列,2,Z17 mini,55,55,55,55,
Z系列,3,Z11 minis,55,55,55,55,
Z系列,4,Z11,55,55,55,55,
Z系列,5,Z11 mini,55,55,55,55,
Z系列,6,Z11 max,55,55,55,55,
Z系列,1,努比亚z9,23,23,23,23,
Z系列,2,Z9 mini,23,23,23,23,
Z系列,3,Z9 max,23,23,23,23,
Z系列,4,Z7 mini,20,20,20,20,
Z系列,5,Z7 max,20,20,20,20,
Z系列,6,Z5 mini,20,20,20,20,
N系列,1,N5,110,110,110,110,
N系列,2,n3,55,55,55,55,
N系列,3,努比亚N2,55,55,55,55,
N系列,4,N1,20,20,20,20,
其他系列,1,红魔10pro+,900,600,600,200,
其他系列,2,红魔Mars,100,80,70,70,
其他系列,3,努比亚 Flip,240,160,100,70,
其他系列,4,努比亚 小牛,180,120,100,100,
其他系列,5,努比亚X,90,60,60,60,
其他系列,6,努比亚 Play 5G,160,150,120,100,
点数系列,1,M2,55,55,55,55,
点数系列,2,513j,55,55,55,55,三星屏
点数系列,3,531,55,55,55,55,
点数系列,4,513银色,20,20,20,20,"三星屏，玻璃壳"
点数系列,5,508,20,20,20,20,
点数系列,6,507,20,20,20,20,
点数系列,1,v18,55,55,55,55,
点数系列,2,X6,20,20,20,20,
点数系列,3,S5s mini,55,55,55,55,
点数系列,4,512,20,20,20,20,
点数系列,5,511,20,20,20,20,
点数系列,6,505,20,20,20,20,
点数系列,1,503,20,20,20,20,
点数系列,2,502,20,20,20,20,
点数系列,3,403,20,20,20,20,
点数系列,4,402,20,20,20,20,
