品牌/系列,序号,机型与规格,网络制式型号,开机靓好,开机好碎,开机碎屏,开机坏配件,不开机,废板·整机,统货,备注
华为Mate系列,1,MATE XT,/,9000,7000,4000,3000,260,150,/,/
华为Mate系列,2,MATE X5,ALT-AL10,3800,3000,1400,1200,230,130,/,/
华为Mate系列,3,MATE X3,ALT-AN00,1400,1100,300,200,130,130,/,/
华为Mate系列,4,MateXs2典藏,TET-AN00,1400,850,450,150,150,110,/,/
华为Mate系列,5,Mate XS 2,TET-AN10,1400,800,400,110,110,110,/,/
华为Mate系列,6,MATE XS 2,PAL-AL00,500,500,160,160,160,160,/,/
华为Mate系列,1,MATE X 5G,TAH-AN00,500,500,120,130,130,110,/,/
华为Mate系列,2,MATE X 5G,TAH-AN00m,400,400,110,110,110,110,/,/
华为Mate系列,3,novafliip,PSD-AL00,900,800,260,200,90,90,/,/
华为Mate系列,4,荣耀Magic V3,FCP-AN10,1800,1500,183,180,180,180,/,/
华为Mate系列,5,荣耀Magic vs2,VER-AN00,1000,800,180,180,180,180,/,/
华为Mate系列,6,荣耀Magic V2,VER-AN10,1000,800,180,180,180,180,/,/
华为折叠系列,1,荣耀magicV2至臻,VER-AN00,1000,800,180,180,180,180,/,/
华为折叠系列,2,荣耀MagicV至臻,TFY-AN00,700,7,180,180,190,600,190,/
华为折叠系列,3,荣耀Magic Vs3,FCP-AN20,700,600,180,180,190,500,280,/
华为折叠系列,4,荣耀Magic Vs,FRI-AN00,450,350,180,180,180,180,400,300
华为折叠系列,5,荣耀Magic V,MRO-AN00,300,250,180,180,180,180,/,/
华为折叠系列,6,pocket2,LEM-AL00,700,600,260,200,140,140,/,/
华为折叠系列,7,Pursa,HGP-AL00,500,500,500,240,90,90,/,/
华为折叠系列,8,Pocket S 4G,BAL-AL00,400,400,220,220,220,220,/,/
华为折叠系列,9,p50pocket,BAL-AL00/AL60,400,400,175,175,175,175,/,/
华为Mate系列,1,华为Mate XT,/,1,1,1,1,1,1,/,/
华为Mate系列,2,华为Mate XT5,/,1,1,1,1,300,180,/,/
华为Mate系列,3,MATE 80,/,1200,1100,800,600,180,150,/,/
华为Mate系列,4,MATE 80 pro,/,1400,1300,1000,800,180,150,/,/
华为Mate系列,5,MATE 80 pro (24+1T),/,1600,1500,1100,800,260,150,/,/
华为Mate系列,6,MATE 60 RS 非凡大师,ALN-AL10,2300,2100,1800,1500,150,150,/,/
华为Mate系列,1,Mate 60 Pro+,ALN-AL20,1300,900,800,800,180,180,/,/
华为Mate系列,2,Mate 60 Pro,ALN-AL00,1300,1200,800,600,185,180,/,开机测试主板亮屏幕有显示算开机
华为Mate系列,3,Mate 60,BRA-AL00,800,700,500,400,180,180,/,开机测试主板亮屏幕有显示算开机
华为Mate系列,4,Mate 50 RS保时捷,DCO-AL00,900,700,500,300,190,190,/,/
华为Mate系列,5,MATE 50 Pro 4G,DCO-AL00,240,240,180,180,180,180,/,/
华为Mate系列,6,MATE 50 4G,CET-AL00,220,220,180,180,180,180,/,/
华为Mate系列,1,Mate 50E 4G,CET-AL00,160,160,160,160,160,160,/,/
华为Mate系列,2,Mate40保时捷+4G,NOP-AN00,280,280,80,80,80,80,/,/
华为Mate系列,3,Mate40Pro 5G (8+256),NOH-AN00,200,200,80,80,80,80,/,/
华为Mate系列,4,Mate40Pro 5G (8+128),NOH-AN00,200,200,80,80,80,80,/,/
华为Mate系列,5,Mate40 5G,OCE-AN00,200,200,80,80,80,80,/,/
华为Mate系列,6,Mate40 RS保时捷 (12+256/512),NOP-AN00,350,350,80,80,80,80,/,开机主板靓功能正常 屏花倒充400 要求主板靓比例正常
华为Mate系列,1,Mate40 Pro 4G,NOH-AL00,200,200,80,80,80,80,/,/
华为Mate系列,2,Mate40 RS(5G),NOP-AN00,220,220,80,80,80,80,/,开机主板靓功能正常 屏花倒充400 要求主板靓比例正常
华为Mate系列,3,Mate 40E 5G,OCE-AN50,150,150,100,100,100,100,/,开机测试主板亮屏幕有显示算开机
