系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
Zen系列,1,华硕ZenFone10,220,130,60,60,
Zen系列,2,华硕ZenFone9,180,150,70,70,
Zen系列,3,华硕ZenFone8Flip,240,150,70,70,
Zen系列,4,华硕ZenFone8,210,140,70,70,
Zen系列,5,华硕ZenFone7pro,200,130,70,70,
Zen系列,6,华硕ZenFone7,180,120,70,70,
Zen系列,7,华硕zenfone6,150,100,55,55,
Rog系列,1,华硕Rog6,280,280,90,90,
Rog系列,2,华硕Rog5spro,220,220,160,100,
Rog系列,3,华硕ROG5s,220,220,220,70,
Rog系列,4,华硕Rog5pro,220,220,220,80,
Rog系列,5,华硕ROG5,220,220,220,60,
Rog系列,6,华硕ROG3代,150,120,100,100,
Rog系列,7,华硕ROG2代,150,120,100,100,
Rog系列,8,华硕rog,80,70,70,70,
