序号,机型与配置,开机靓机好,开机好碎,开机碎屏,开机压屏机,不开机,废板·断板,统货,备注
1,MIX FOLD 1 (12+256),215,215,215,215,215,215,/,三星屏 496花屏别的不开机的要求芯片无破损 要求比例正常
2,MIX FOLD 1 (12+512),270,270,270,270,270,270,/,三星屏 496花屏别的不开机的要求芯片无破损 要求比例正常
3,MIX FOLD 1 折叠屏音版 (16+512),400,400,400,400,400,400,/,
4,小米17T Pro 5G (12+256),2800,1800,1000,600,215,215,/,开机主板靓功能正常镜头靓 屏花倒充400
5,小米17T Pro 5G (12+512),2800,1800,1000,600,270,270,/,开机主板靓功能正常镜头靓 屏花倒充400
6,小米17T Pro 5G (16+512),2800,1800,1000,600,400,400,/,开机主板靓功能正常镜头靓 屏花倒充400
1,小米17TS 5G (12+256),2000,1500,900,500,215,215,/,开机主板靓功能正常镜头靓 屏花倒充400
2,小米17TS 5G (12+512),2000,1500,900,500,270,270,/,开机主板靓功能正常镜头靓 屏花倒充400
3,小米17 Ultra (12+512),4700,3000,2200,1800,400,400,/,需要开机主板靓功能正常镜头靓 不能有合影倒充
4,小米17 Ultra 保卡版 (16+1TB),4700,3000,2200,1800,475,475,/,开机主板靓功能正常镜头靓 屏花倒充400元
5,小米17 (12+512),4000,2800,2200,1800,270,270,/,开机主板靓功能正常镜头靓 屏花倒充400元
6,小米17 (16+512),4000,2800,2200,1800,400,400,/,开机主板靓功能正常镜头靓 屏花倒充400元
1,小米17 Ultra (16+1TB),4000,2800,2200,1800,475,475,/,开机主板靓功能正常镜头靓 屏花倒充400元
2,小米17Pro max (12+512),3200,2800,2100,1800,270,270,/,开机主板靓功能正常镜头靓 屏花倒充400元
3,小米17Pro max (16+512),3200,2800,2100,1800,400,400,/,开机主板靓功能正常镜头靓 屏花倒充400元
4,小米17Pro max (16+1TB),3200,2800,2100,1800,475,475,/,开机主板靓功能正常镜头靓 屏花倒充400元
5,小米17max (12+256),3500,2000,1500,700,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
6,小米17max (12+512),3500,2000,1500,700,270,270,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米17max (16+256),3500,2000,1500,700,350,350,/,开机主板靓功能正常镜头靓 屏花倒充
2,小米17max (16+512),3500,2000,1500,700,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
3,小米17Pro (12+256),2800,2000,1400,600,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
4,小米17Pro (12+512),2800,2000,1400,600,270,270,/,开机主板靓功能正常镜头靓 屏花倒充
5,小米17Pro (16+256),2800,2000,1400,600,350,350,/,开机主板靓功能正常镜头靓 屏花倒充
6,小米17Pro (16+512),2800,2000,1400,600,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米15ultra (12+256),1300,850,800,350,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
2,小米15ultra (16+512),1300,850,800,400,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
3,小米15ultra (16+1T),1300,850,800,475,475,475,/,开机主板靓功能正常镜头靓 屏花倒充
4,小米15pro (12+256),1100,700,750,300,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
5,小米15pro (16+512),1100,700,750,400,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
6,小米15pro (16+1T),1100,700,750,475,475,475,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米15 (12+256),1000,550,750,300,270,270,/,开机主板靓功能正常镜头靓 屏花倒充
2,小米15 (16+512),1000,550,750,400,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
3,小米15 (16+1TB),1000,550,750,475,475,475,/,开机主板靓功能正常镜头靓 屏花倒充
4,小米15 (12+256),1000,550,750,300,215,215,/,
5,小米14ultra (12+256),1200,700,650,300,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
6,小米14ultra (16+512),1200,700,650,400,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米14ultra (16+1T),1200,700,650,475,475,475,/,开机主板靓功能正常镜头靓 屏花倒充
2,小米14Pro (12+256),950,600,450,250,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
3,小米14Pro (16+512),950,600,450,400,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
4,小米14Pro (16+1TB),950,600,450,475,475,475,/,开机主板靓功能正常镜头靓 屏花倒充
5,小米14 (8+256),750,500,400,205,205,205,/,开机主板靓功能正常镜头靓 屏花倒充
6,小米14 (12+256),750,500,400,250,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米14 (16+512),750,500,400,400,400,400,/,备注
2,小米14 (16+1TB),750,500,475,475,475,475,/,
3,小米13ultra (12+256),750,450,550,300,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
4,小米13ultra (16+512),750,450,550,300,270,270,/,开机主板靓功能正常镜头靓 屏花倒充
5,小米13ultra (16+512B),750,450,550,400,400,400,/,开机主板靓功能正常镜头靓 屏花倒充
6,小米13ultra (16+1TB),750,500,550,475,475,475,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米13 Pro (8+128),200,200,160,160,160,160,/,开机主板靓功能正常镜头靓 屏花倒充
2,小米13 Pro (8+256),300,300,205,205,205,205,/,开机主板靓功能正常镜头靓 屏花倒充
3,小米13 Pro (12+256),600,400,215,215,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
4,小米13 Pro (12+512),600,400,270,270,270,270,/,开机主板靓功能正常镜头靓 屏花倒充
5,小米13 (8+128),200,200,160,160,160,160,/,开机主板靓功能正常镜头靓 屏花倒充
6,小米13 (8+256),300,300,205,205,205,205,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米13 (12+256),450,350,215,215,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
2,小米13 (12+512),450,350,270,270,270,270,/,开机主板靓功能正常镜头靓 屏花倒充
3,小米12Pro (8+128),160,160,160,160,160,160,/,要求芯片无损
4,小米12Pro (8+256),205,205,205,205,205,205,/,要求芯片无损
5,小米12Pro (12+256),215,215,215,215,215,215,/,要求芯片无损
6,小米12S Ultra (8+256),300,205,205,205,205,205,/,开机主板靓功能正常镜头靓 屏花倒充
1,小米12S Ultra (12+256),300,215,215,215,215,215,/,开机主板靓功能正常镜头靓 屏花倒充
2,小米12S Ultra (12+512),300,270,270,270,270,270,/,开机主板靓功能正常镜头靓 屏花倒充
3,小米12S (8+128),160,160,160,160,160,160,/,要求芯片无损
4,小米12S (8+256),205,205,205,205,205,205,/,要求芯片无损
5,小米12S (12+256),215,215,215,215,215,215,/,要求芯片无损
6,小米12S (12+512),270,270,270,270,270,270,/,要求芯片无损
1,小米12 (8+128),205,205,205,205,205,205,/,要求芯片无损
2,小米12 (12+256),215,215,215,215,215,215,/,要求芯片无损
3,小米12 (8+128),160,160,160,160,160,160,/,
4,小米11 Ultra,400,350,350,350,200,200,/,三星屏 大老化算碎屏 开机要求主板靓好镜头 统货要求芯片正常比例正常
5,小米11 Pro (8+256),205,205,205,205,205,205,/,三星屏芯片无损 无法发
6,小米11 Pro (12+256),215,215,215,215,215,215,/,三星屏芯片无损 无法发
1,小米11 (8+128),160,160,160,160,160,160,/,要求芯片无损
2,小米11青春版,170,170,170,170,170,170,/,三星屏 主板芯片无破损
3,小米11 5G (8+128),160,160,160,160,160,160,/,要求芯片无损 无法发
4,小米11 5G (8+256),205,205,205,205,205,205,/,三星屏芯片无损 无法发
5,小米11 5G (12+256),215,215,215,215,215,215,/,要求芯片无损 无法发
6,小米10 至尊版 5G (8+128),160,160,160,160,160,160,/,三星屏 主板芯片无破损
1,小米10 至尊版 5G (8+256),205,205,205,205,205,205,/,
2,小米10 至尊版 5G (12+256),215,215,215,215,215,215,/,
3,小米10 至尊版 5G (16+512),400,400,400,400,400,400,/,
4,小米10Pro 5G (8+256),215,215,215,215,215,215,/,主板芯片无损 无进水烧坏 统货要求比例正常
5,小米10Pro 5G (12+256),270,270,270,270,270,270,/,主板芯片无损 无进水烧坏 统货要求比例正常
6,小米10Pro 5G (8+256),205,205,205,205,205,205,/,主板芯片无损 无进水烧坏 统货要求比例正常
1,小米10 (6+128),160,160,160,160,160,160,/,6+64的 100元
2,小米10青春版 (8+128),160,160,160,160,160,160,/,
3,小米10 (8+256),210,210,210,210,210,210,/,
4,小米10青春版 (6+64),100,100,100,100,100,100,/,
5,小米10青春版 (8+256),205,205,205,205,205,205,/,
6,小米10s (12+256),215,215,215,215,215,215,/,
1,小米10s (8+128),160,160,160,160,160,160,/,三星屏 主板芯片无破损
2,小米10s (8+256),205,205,205,205,205,205,/,
3,小米10 (8+128),160,160,160,160,160,160,/,三星屏 主板芯片正常
4,小米9 Pro 5G,130,130,130,130,130,130,/,三星屏 主板功能正常
5,小米9 (8+256),205,205,205,205,205,205,/,三星屏 主板功能正常
6,小米9Pro,130,130,130,130,130,130,/,
1,小米9,130,130,130,130,130,130,/,三星屏 主板功能正常
2,小米CC9 Pro,160,160,160,160,160,160,/,三星屏 主板芯片无破损
3,小米CC9美图定制版,210,210,210,210,210,210,/,主板芯片+25元无破损
4,小米CC9,125,125,125,125,125,125,/,三星屏 主板芯片无破损
5,小米CC9e,115,115,115,115,115,115,/,三星屏 主板芯片无破损
6,小米9e/128g,110,110,110,110,110,110,/,三星屏芯片无破损
1,小米9se (8+128),110,110,110,110,110,110,/,三星屏 主板芯片无破损
2,小米8透明探索版,130,130,130,130,130,130,/,三星屏 主板芯片正常
3,小米8屏幕指纹版,80,80,80,80,80,80,/,三星屏
4,小米青春版,145,145,145,145,145,145,/,主板芯片无损
5,小米8se/64G,100,100,100,100,100,100,/,三星屏
6,小米8se,100,100,100,100,100,100,/,三星屏
1,小米8,80,80,80,80,80,80,/,三星屏 wifi不良的不计费
2,小米6X,110,110,110,110,110,110,/,32G的70
3,小米6,70,70,70,70,70,70,/,好的要面测指纹
4,小米5sp,55,55,55,55,55,55,/,
5,小米5s,55,55,55,55,55,55,/,
6,小米5c,35,35,35,35,35,35,/,
1,小米5x,120,120,120,120,120,120,/,32G的70
2,小米5,45,45,45,45,45,45,/,8.5成开机
3,小米4c 32G,33,33,33,33,33,33,/,8.5成开机
4,小米poco x4pro,60,60,60,60,60,60,/,
5,小米poco 5,30,30,30,30,30,30,/,
6,小米4c 16G,33,33,33,33,33,33,/,
1,小米4s,33,33,33,33,33,33,/,8.5成开机
2,小米4,30,30,30,30,30,30,/,
3,小米3,35,35,35,35,35,35,/,
4,小米2s,20,20,20,20,20,20,/,
5,小米2A,13,13,13,13,13,13,/,
6,小米2,20,20,20,20,20,20,/,
1,小米1,10,10,10,10,10,10,/,
2,小米Play,100,100,100,100,100,100,/,
3,小米Civi 5 Pro (12+256),550,350,500,300,215,215,/,开机主板靓功能正常 统货要求芯片正常主板靓
4,小米Civi 5 Pro (12+512),550,350,500,300,270,270,/,开机主板靓功能正常 统货要求芯片正常主板靓
5,小米Civi 5 Pro (16+512),550,400,500,400,400,400,/,开机主板靓功能正常 统货要求芯片正常主板靓
6,小米CIVI 4 Pro (12+256),450,350,400,250,215,215,/,开机主板靓功能正常 统货要求芯片正常主板靓
1,小米CIVI 4 Pro (12+512),450,300,400,270,270,270,/,开机主板靓功能正常 统货要求芯片正常主板靓
2,小米CIVI 4 Pro (16+512),450,400,400,400,400,400,/,开机主板靓功能正常 统货要求芯片正常主板靓
3,小米CIVI 3 (12+256),270,215,215,215,215,215,/,开机主板靓功能正常 统货要求芯片正常主板靓
4,小米CIVI 3 (12+512),270,270,270,270,270,270,/,开机主板靓功能正常 统货要求芯片正常主板靓
5,小米CIVI 3 (16+1TB),475,475,475,475,475,475,/,开机主板靓功能正常 统货要求芯片正常主板靓
6,小米CIVI 3 (8+256),205,205,205,205,205,205,/,开机主板靓功能正常 统货要求芯片正常主板靓
1,小米CIVI 2 (8+256),210,210,210,210,210,210,/,芯片无破损无法发 比例正常
2,小米CIVI,190,190,190,190,190,190,/,芯片无破损无法发 比例正常
1,小米mix fold 4代,900,550,250,250,250,250,/,三星屏 需好大老化算碎屏 开机要求主板靓功能正常 统货比例正常
2,小米MIX Flip,800,500,250,250,250,250,/,三星屏 需好大老化算碎屏 开机要求主板靓功能正常 统货比例正常
3,小米MIX Fold 3,700,500,250,250,250,250,/,三星屏 开机好镜头靓主板靓 统货正常芯片无破损 比例正常
4,小米MIX Fold 2 (12+512),700,270,270,270,270,270,/,开机主板靓功能正常 统货正常芯片无破损
5,小米MIX Fold 2 (12+1T),700,300,300,300,300,300,/,开机主板靓功能正常 统货正常芯片无破损
6,小米MIX Fold 2 (12+256),700,500,215,215,215,215,/,开机主板靓功能正常 统货芯片无破损
1,小米Mix4,190,190,190,190,190,190,/,三星屏 主板功能正常
2,小米Mix3,90,90,90,90,90,90,/,三星屏
3,小米Mix2s,70,70,70,70,70,70,/,
4,小米Mix2,70,70,70,70,70,70,/,
5,小米Mix1,60,60,60,60,60,60,/,
1,小米Max3,130,130,130,130,130,130,/,外爆屏老化算碎屏
2,小米Max2,95,95,95,95,95,95,/,
3,小米Max1,45,45,45,45,45,45,/,
1,小米Note3,100,100,100,100,100,100,/,外爆老化算碎屏
2,小米Note2,60,60,60,60,60,60,/,三星屏
3,小米Note金,55,55,55,55,55,55,/,
4,小米Note白,28,28,28,28,28,28,/,
1,小米黑鲨5 (8+128),160,160,160,160,160,160,/,三星屏 好屏芯片无破损 开机老化扣钱 不开机要求主板靓芯片无破损
2,小米黑鲨5 (8+256),205,205,205,205,205,205,/,
3,小米黑鲨5 (12+256),215,215,215,215,215,215,/,
4,小米黑鲨4Pro (8+256),205,205,205,205,205,205,/,三星屏 要求芯片无破损
5,小米黑鲨4Pro (12+256),215,215,215,215,215,215,/,
6,小米黑鲨4 (8+128),185,185,185,185,185,185,/,三星屏 芯片无破损
1,小米黑鲨4 (12+128),185,185,185,185,185,185,/,
2,小米黑鲨4 (8+256),205,205,205,205,205,205,/,
3,小米黑鲨4 (12+256),215,215,215,215,215,215,/,
4,小米黑鲨3Pro 5G (8+256),100,100,100,100,100,100,/,
5,小米黑鲨3s 5G (12+128),170,170,170,170,170,170,/,三星屏 芯片无破损
6,小米黑鲨3s 5G (12+256),215,215,215,215,215,215,/,
1,红米K90 (12+512),950,600,650,350,270,270,/,开机主板靓镜头功能正常 屏花倒充
2,红米K90 (16+256),950,600,700,350,350,350,/,开机主板靓镜头功能正常 屏花倒充
3,红米K90 (16+512),1200,700,800,400,400,400,/,开机主板靓镜头功能正常 屏花倒充
4,红米K90 (16+1TB),1400,800,1000,500,475,475,/,开机主板靓镜头功能正常 屏花倒充
5,红米K90 (12+256),950,600,500,300,215,215,/,开机主板靓镜头功能正常 屏花倒充
6,红米K80至尊 (12+256),1300,800,700,350,215,215,/,开机主板靓镜头功能正常 屏花倒充
1,红米K80Pro (12+512),1300,750,700,350,265,265,/,
2,红米K80PR (16+512),1300,750,700,400,400,400,/,
3,红米K80Pro (16+1TB),1300,750,700,475,475,475,/,
4,红米K80Pro (12+256),1300,750,700,350,215,215,/,
5,红米K80 (16+512),900,500,550,350,350,350,/,
6,红米K80 (12+256),900,500,550,265,265,265,/,
1,红米K80 (12+512),900,500,550,400,400,400,/,
2,红米K80 (16+1TB),900,550,550,475,475,475,/,
3,红米K80 (16+1TB),900,500,550,250,215,215,/,三星屏 主板靓爆皮 统货芯片无破损 比例正常
4,红米k70至尊 (12+256),600,400,500,350,215,215,/,三星屏 主板靓主板头靓 开机统货芯片无破损
5,红米k70Pro (16+256),500,400,450,300,215,215,/,开机主板靓镜头正常 统货芯片无破损
6,红米k70Pro (12+256),500,450,450,350,350,350,/,
1,红米k70Pro (12+512),500,400,450,300,270,270,/,开机主板靓统货芯片无破损
2,红米K70Pro (16+512),500,450,450,400,400,400,/,
3,红米K70Pro (24+1TB),600,505,550,505,505,505,/,
4,红米K70 (12+256),450,350,400,350,350,350,/,开机主板靓功能正常 屏花倒充 统货要求芯片无破损比例正常
5,红米k70 (12+512),400,265,350,270,270,270,/,开机主板靓功能正常 屏花倒充 统货要求主板比例正常
6,红米k70 (16+512),500,400,450,400,400,400,/,开机主板靓功能正常 屏花倒充 统货要求主板比例正常
1,红米k70 (16+256),400,215,350,215,215,215,/,三星屏 主板靓爆皮靓 开机主板靓功能正常
2,红米k70 (16+1TB),550,475,500,475,475,475,/,开机主板靓功能正常 屏花倒充 统货要求主板比例正常
3,红米k70E (8+256),350,205,205,205,205,205,/,开机主板靓功能正常 屏花倒充 主板靓比例正常
4,红米K70E (12+256),350,215,300,215,215,215,/,开机主板靓功能正常 屏花倒充 统货要求芯片无破损比例正常
5,红米K70E (12+512),400,265,300,270,270,270,/,开机主板靓功能正常 屏花倒充 统货要求主板比例正常
6,红米K70E (16+1TB),500,500,475,475,475,475,/,
1,红米K60至尊 (12+256),400,300,350,200,190,190,/,三星屏 主板靓镜功能正常 统货比例正常
2,红米K60Pro (8+128),160,160,160,160,160,160,/,三星屏 主板芯片无破损 比例正常
3,红米K60PR O (8+256),250,205,205,205,205,205,/,
4,红米K60PR O (12+256),250,215,215,215,215,215,/,
5,红米K60PR O (12+512),380,270,270,270,270,270,/,
6,红米K60PR O (16+512),400,400,400,400,400,400,/,
1,红米K60E (8+128),160,160,160,160,160,160,/,三星屏
2,红米K60E (8+256),250,205,205,205,205,205,/,
3,红米K60E (12+256),250,215,215,215,215,215,/,
4,红米K60E (12+512),300,270,270,270,270,270,/,
5,红米K60 (8+128),160,160,160,160,160,160,/,统货比例正常主板靓
6,红米K60 (8+256),250,205,205,205,205,205,/,
1,红米K60 (12+256),250,215,215,215,215,215,/,
2,红米K60 (16+256),350,350,350,350,350,350,/,开机主板靓功能正常 统货芯片无破损
3,红米K60 (12+512),380,270,270,270,270,270,/,开机主板靓功能正常 统货芯片无破损
4,红米K60 (16+512),400,400,400,400,400,400,/,开机主板靓功能正常 统货芯片无破损
5,红米K60 (16+1TB),500,475,475,475,475,475,/,
6,红米K50电竞版 (8+128),160,160,160,160,160,160,/,三星屏 主板功能正常
1,红米K50电竞版 (12+128),190,190,190,190,190,190,/,
2,红米K50电竞版 (12+256),215,215,215,215,215,215,/,
3,红米K50至尊 (8+128),160,160,160,160,160,160,/,三星屏芯片要求比例正常
4,红米K50至尊 (8+256),220,220,220,190,220,190,/,
5,红米K50至尊 (12+256),220,220,220,220,220,220,/,
6,红米K50至尊 (12+512),270,270,270,270,270,270,/,
1,红米k50 Pro (8+128),205,205,205,205,205,205,/,三星屏
2,红米K50 Pro (8+256),205,205,205,205,205,205,/,
3,红米K50 Pro (12+256),215,215,215,215,215,215,/,
4,红米K50 Pro (12+512),270,270,270,270,270,270,/,
5,红米K50 (8+128),205,205,205,205,205,205,/,
6,红米K50 (8+256),215,215,215,215,215,215,/,
1,红米K50 (12+256),270,270,270,270,270,270,/,
2,红米k50 (8+128),160,160,160,160,160,160,/,三星屏 芯片无破损 比例正常
3,红米K40游戏增强版 (8+128),100,100,100,100,85,85,/,三星屏 屏幕大老化算碎屏 开机功能正常 主板靓统货
4,红米K40游戏增强版 (12+128),140,140,140,140,125,125,/,三星屏 开机功能正常 主板靓统货
5,红米K40游戏增强版 (12+256),150,150,150,150,135,135,/,三星屏 开机功能正常 主板靓统货
6,红米K40游戏增强版 (12+256),190,190,190,190,175,175,/,三星屏 开机功能正常 主板靓统货
1,红米K40 Pro (12+256),215,215,215,215,215,215,/,三星屏 统货主板芯片比例正常
2,红米K40 Pro (6+128),100,100,100,100,100,100,/,
3,红米K40 Pro (8+128),160,160,160,160,160,160,/,三星屏 统货主板芯片比例正常
4,红米K40 Pro (8+256),205,205,205,205,205,205,/,三星屏 统货主板芯片比例正常
5,红米K40S,220,220,190,190,190,190,/,三星屏
6,红米K40 (6+128),100,100,100,100,100,100,/,
1,红米K40 (8+128),160,160,160,160,160,160,/,三星屏 统货主板芯片比例正常
2,红米K40 (8+256),205,205,205,205,205,205,/,三星屏 纯统货主板比例正常
3,红米K40 (12+256),215,215,215,215,215,215,/,
4,红米K30至尊 5G (8+256),205,205,205,205,205,205,/,
5,红米K30至尊 5G (8+512),100,100,100,100,100,100,/,三星屏 主板芯片无破损
6,红米K30 Pro 变焦版 (8+256),160,160,160,160,160,160,/,
1,红米K30 Pro 5G (8+128),90,90,90,90,90,90,/,
2,红米K30 Pro 5G (6+128),205,205,205,205,205,205,/,
3,红米K30 Pro 5G (8+128),160,160,160,160,160,160,/,
4,红米K30 Pro 5G (8+256),205,205,205,205,205,205,/,
5,红米K30S (8+128),170,170,170,170,170,170,/,
6,红米K30S (8+256),160,160,160,160,160,160,/,三星屏 主板芯片无破损
====================================================================================
序号,机型与配置,开机靓好,开机好碎,开机碎屏,开机坏配件,不开机,废板·整机,备注
3,红米K40 (12+256),215,215,215,215,215,215,三星屏 统货主板芯片比例正常
4,红米K30至尊版,100,100,100,100,100,100,三星屏 主板芯片无破损
