系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,点数,备注
G系列,1,G30,130,130,130,130,,
G系列,2,S50 Neo,300,270,180,180,,
G系列,3,G82,200,200,150,150,,
G系列,4,G71S,200,200,150,150,,
G系列,5,G71,200,200,150,150,,
G系列,6,G54,200,200,150,150,,
G系列,7,G53,200,180,150,150,,
G系列,8,G51,200,150,150,150,,
G系列,9,G50,200,150,150,150,,
刀锋系列,1,刀锋4,300,200,150,150,,
刀锋系列,2,刀锋3,300,200,150,150,,
刀锋系列,3,刀锋2,400,200,150,150,,小屏要求好的
S系列,1,S30PRO,250,200,150,150,,
S系列,2,S30,150,150,150,150,,
X系列,1,X30PRO,400,300,150,150,,
X系列,2,X30,400,300,150,150,,
edge系列,1,edge S SPro,130,130,130,130,,
edge系列,2,edge S,130,130,130,130,,
edge系列,3,edge轻奢版,130,130,130,130,,
经典/老款系列,1,联想摩托motoz2force,30,20,20,20,/,,
经典/老款系列,2,V8,28,28,28,/,/,,
经典/老款系列,3,V3,28,28,28,/,/,,
经典/老款系列,4,R1,350,180,180,/,/,开机屏好要求外壳靓没后盖扣100
经典/老款系列,5,L7,28,28,28,/,/,,
经典/老款系列,6,L6,28,28,28,/,/,,
经典/老款系列,7,1200,28,28,28,/,/,,
经典/老款系列,8,525,/,/,/,/,10,,
