序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
1,朵唯D9 pro,70,70,70,70,
2,X11proM,70,70,70,70,
3,K10pro,70,70,70,70,
4,M30,70,70,70,70,
5,M40Pro,70,70,70,70,
6,M2,20,20,20,20,
7,L9mini/C32,30,30,30,30,
8,L9,60,60,60,60,
9,L8plus/C27,30,30,30,30,
10,L825/C38,30,30,30,30,
11,L7/C24,30,30,30,30,
12,L5P/C19,30,30,30,30,
13,L5m/C22,30,30,30,30,
14,L520/C38,120,120,120,120,
15,A8,70,70,70,70,
16,A6/C25,35,35,35,35,
17,A55/Q5801,35,35,35,35,
18,A5/C29,35,35,35,35,
19,A15/C36,60,60,60,60,
20,A12/C34,60,60,60,60,
21,A11/C33,60,60,60,60,
22,A10/C35,35,35,35,35,
23,525,120,120,120,120,
24,520,120,120,120,120,
25,S5/C20,20,20,20,20,
26,L5P/C21,20,20,20,20,
27,L3c/C17,20,20,20,20,
28,L1/C14,20,20,20,20,
29,P70,70,70,70,70,
30,逆客V8,20,20,20,20,
31,逆客V5,20,20,20,20,
32,逆客V3,20,20,20,20,
33,逆客V1,20,20,20,20,
===============================================
    开机屏好（K1等级）：
    开机进系统，内外屏完好（部分机型以备注为准），屏幕不压伤、不老化，主板功能全正常，底色无要求；三星屏外屏爆内屏好触摸无问题算屏好（组装屏算屏坏），无特殊备注不需要测通讯功能和账户密码。
    开机屏坏（H3等级）：
    开机进系统，屏幕碎裂或缺失，主板无腐蚀、主板无拆修、无压伤、无断板、无变形，无特殊备注不需要测通讯功能和账户密码。
    不开机（F1等级）：
    主板无维修、无腐蚀、无压伤、无断板、无变形，整机零件无缺失（无法进入系统、反复重启均算作不开机）。
    废板（F3等级）：
    压伤严重、腐蚀严重、有进水痕迹、断板、主板变形、主板大修；要求芯片完好。
