系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
H系列,1,H60,110,110,110,110,
H系列,2,H18,110,110,110,110,
H系列,3,H20,110,110,110,110,
H系列,4,H10,55,55,55,55,
F系列,1,F50,110,110,110,110,
F系列,2,F50+,110,110,110,110,
F系列,3,F40,110,110,110,110,
F系列,4,F26,55,55,55,55,
F系列,5,F23,20,20,20,20,
F系列,6,F31,20,20,20,20,
F系列,7,F30,20,20,20,20,
F系列,8,F22,20,20,20,20,
E系列,1,E18Pro,110,110,110,110,
E系列,2,E311,110,110,110,110,
E系列,3,E217高配,110,110,110,110,
E系列,4,E500,110,110,110,110,
E系列,5,E216,110,110,110,110,
E系列,6,E300,55,55,55,55,
E系列,7,E217低配,55,55,55,55,
E系列,8,E202,55,55,55,55,
E系列,9,E200,55,55,55,55,
其它/双屏,1,M30,11,11,11,11,
其它/双屏,2,A6L双屏,60,45,45,25,
墨水屏系列,1,A9,400,85,85,85,
墨水屏系列,2,A7,400,85,85,85,
墨水屏系列,3,A7cc版,400,85,85,85,
墨水屏系列,4,TOUCH LITE,320,85,85,85,
墨水屏系列,5,A5pro,210,85,85,85,
