分类,序号,品名/型号,回收价格(元/点数),备注
统货回收价格(不含挑货老年机),1,功能机 (老年机) 有电池,10,"正常通货比例，原装货，没有被挑过。【参考示例图1】"
统货回收价格(不含挑货老年机),2,功能机 (老年机) 无电池,9,"正常通货比例，原装货，没有被挑过。【参考示例图1】"
非统货回收价格,1,翻盖老款机 (称斤杂机),160,【参考示例图2】
非统货回收价格,2,两成以上翻盖机 (称斤杂机),85,【参考示例图3】
非统货回收价格,3,直板机 (称斤杂机),62,【参考示例图4】
非统货回收价格,4,双卡大屏机,7.4,【参考示例图5】
挑货老年机回收价,1,老款低档诺基亚系列,15,
挑货老年机回收价,2,老款5110系列,30,【参考示例图6】
挑货老年机回收价,3,老款翻盖系列,20,【参考示例图7】
挑货老年机回收价,4,老款低档摩托系列,28,【参考示例图8】
挑货老年机回收价,5,老款低档诺基亚n70、72系列,24,【参考示例图9】
挑货老年机回收价,6,老款杂机,19,【参考示例图10】
挑货老年机回收价,7,老款摩托罗拉大哥大,58,【参考示例图11】
保千里,1,保千里打令VR至尊版,1999,【参考示例图12】
TCL热门机型,1,TCL999d,1666,【参考示例图13】
双小卡老年机挑货,1,双小卡老年机挑货,12,【参考示例图14/15】
双小卡老年机挑货,2,双小卡老年机通点,11,【参考示例图14/15】
