系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
拯救者系列,1,Rog6,400,260,200,180,
拯救者系列,2,拯救者y70,180,140,100,100,
拯救者系列,3,拯救者y90,150,130,110,100,
拯救者系列,4,拯救者2Pro,150,130,110,100,
拯救者系列,5,拯救者Pro,110,80,80,30,
S系列,1,S5pro,120,120,120,120,
S系列,2,S5,60,60,60,60,
S系列,3,S5pro GT,120,120,120,120,
S系列,4,S60,20,20,20,20,
S系列,5,S850,20,20,20,20,
S系列,6,S90,20,20,20,20,
S系列,1,S810t,10,10,10,10,
S系列,2,S960,23,23,23,23,
S系列,3,S938t,10,10,10,10,
S系列,4,S930,10,10,10,10,
S系列,5,S920,10,10,10,10,
S系列,6,S898t,10,10,10,10,
S系列,1,S890,10,10,10,10,
S系列,2,S868,10,10,10,10,
S系列,3,S860,10,10,10,10,
S系列,4,S658,10,10,10,10,
K系列,1,K5 Pro,120,120,120,120,
K系列,2,K8 note,20,20,20,20,
K系列,3,K12 pro,60,60,60,60,
K系列,4,K52t38,20,20,20,20,
K系列,5,K5 Play,60,60,60,60,
K系列,6,K5 Note,60,60,60,60,
K系列,1,k350,60,60,60,60,
K系列,2,K320,20,20,20,20,
K系列,3,K51c78,20,20,20,20,
K系列,4,K50-t5,18,18,18,18,
K系列,5,K31-t3,18,18,18,18,
K系列,6,K80,20,20,20,20,
K系列,1,K30-t,18,18,18,18,
K系列,2,K920,20,20,20,20,
K系列,3,K910,20,20,20,20,
K系列,4,K900,20,20,20,20,
K系列,5,K32c36,18,18,18,18,
K系列,6,K10e70,15,15,15,15,
K系列,7,K860,10,10,10,10,
A系列,1,A5,20,20,20,20,
A系列,2,A6800,20,20,20,20,
A系列,3,A938/A936,10,10,10,10,
A系列,4,A808t,18,18,18,18,
A系列,5,A806t,18,18,18,18,
A系列,6,A805e,10,10,10,10,
A系列,1,A7600,10,10,10,10,
A系列,2,A5860,15,15,15,15,
A系列,3,A5500,15,15,15,15,
A系列,4,A3910,10,10,10,10,
A系列,5,A3900,10,10,10,10,
A系列,6,A916,10,10,10,10,
A系列,1,A858,10,10,10,10,
A系列,2,A850,10,10,10,10,
A系列,3,A850+,10,10,10,10,
A系列,4,A808ti,15,15,15,15,
A系列,5,A788t,10,10,10,10,
A系列,6,A708t,10,10,10,10,
A系列,1,A3860,15,15,15,15,
A系列,2,A2580,15,15,15,15,
A系列,3,A828t,10,10,10,10,
A系列,4,A5800,10,10,10,10,
A系列,5,A560,10,10,10,10,
A系列,6,A3800-d,10,10,10,10,
A系列,7,A358,10,10,10,10,
A系列,8,A330e,10,10,10,10,
A系列,9,A2800,10,10,10,10,
其他型号,1,Z6青春,120,120,120,120,
其他型号,2,Z6 Pro,120,120,120,120,
其他型号,3,Z6,120,120,120,120,
其他型号,4,Z5s,120,120,120,120,
其他型号,5,Z5,135,135,135,135,
其他型号,6,Zuk Z2 Pro,50,50,50,50,
其他型号,1,Z5 Pro GT,50,50,50,50,
其他型号,2,Z5 Pro,50,50,50,50,
其他型号,3,Phab2 Plus,50,50,50,50,
其他型号,4,Zuk z2,50,50,50,50,
其他型号,5,Z90-t,25,25,25,25,
其他型号,6,Zuk Edge,50,50,50,50,
其他型号,1,乐檬K12,60,60,60,60,
其他型号,2,P2,60,60,60,60,
其他型号,3,z2,25,25,25,25,
其他型号,4,P1c72,20,20,20,20,
其他型号,5,P1c58,20,20,20,20,
其他型号,6,Zuk z1,25,25,25,25,
其他型号,1,P70-t,20,20,20,20,
其他型号,2,X2,20,20,20,20,
其他型号,3,628,10,10,10,10,
其他型号,4,A606,10,10,10,10,
其他型号,5,399,10,10,10,10,
其他型号,6,388,10,10,10,10,
其他型号,7,L3500,10,10,10,10,
其他型号,8,3500,10,10,10,10,
其他型号,1,k520,,,,单列暂无价
