序号,型号,开机屏好(无ID),开机屏坏(无ID),无ID靓板,无ID不靓板,废板-整机,统货,点数(两成无ID),没屏,备注
1,iphone 17promax,4000,2200,400,150,80,200,/,/,统货需要板
2,iphone 17,2800,1000,400,150,80,200,/,/,
3,iphone 17pro,3000,1300,400,150,80,200,/,/,
4,iphone 17air,2000,500,200,150,80,200,/,/,
5,iphone 16promax,4800,3000,1700,350,100,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
6,iphone 16plus,3000,1800,700,200,100,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
7,iphone 16,2800,1500,1500,300,100,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
8,iphone 16pro,3600,1800,900,200,100,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
9,iphone 15 Pro,2900,1500,600,300,100,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
10,iphone 15plus,1800,450,200,100,50,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
11,iphone 15,2000,1000,600,200,100,120,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
12,iphone 14 Pro max,2600,800,500,240,80,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
13,iphone 14 Pro,1800,450,400,180,80,200,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
14,iphone 14,1500,350,300,180,80,120,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
15,iphone 14 plus,1500,400,300,180,80,120,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
16,iphone 13 PRO MAX,1600,600,400,180,80,120,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
17,iphone 13 PRO,1300,550,300,180,80,120,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏，无ID靓板要求靓镜头"
18,iphone 13 mini,750,500,220,100,45,120,/,/,"开机屏好，面容坏无蓝300，屏老化100，组装屏算屏坏"
19,iphone 13,850,600,220,100,45,120,/,/,"开机屏好，面容坏无蓝扣150，算屏坏"
20,iphone 12 Promax,1000,700,300,130,45,120,/,/,"开机屏好，面容坏无蓝扣100，屏老化扣100，组装屏算屏坏，无ID靓板要求靓镜头"
21,iphone 12 Pro,800,500,220,100,45,120,/,/,"开机屏好，面容坏无蓝扣100，屏老化扣150，算屏坏"
22,iphone 12mini,350,200,150,80,45,120,/,/,"开机屏好，面容坏无蓝扣100，屏老化扣150，算屏坏"
23,iphone 12,500,400,200,100,45,120,/,/,"开机屏好，面容坏老化扣150，组屏算坏"
24,iphone 11PRO MAX,450,300,200,100,45,120,/,/,"开机屏好，要求无账号面容好靓，像头面容坏扣150"
25,iphone 11PRO,450,250,200,100,45,120,/,/,"开机屏好，无面容坏面容坏扣150，算屏屏坏"
26,iphone 11,400,200,140,80,45,120,/,/,"开机屏好，无面容面容坏扣150"
27,iphone 8PLUS,200,150,60,40,30,60,/,/,"没挑过ID密保的，正常统货"
28,iphone 8,180,140,60,40,30,60,/,/,"没挑过ID密保的，正常统货"
29,iphone 7PLUS,130,70,50,30,30,50,/,/,"没挑过ID密保的，正常统货"
30,iphone 7,100,70,50,30,20,50,50,/,"没挑过ID密保的，正常统货"
31,iphone 6SP,50,40,40,40,20,/,40,20,"没挑过ID密保的，正常统货"
32,iphone 6S,50,40,40,40,20,/,40,20,"没挑过ID密保的，正常统货"
33,iphone 6P,36,36,36,36,20,/,36,20,"没挑过ID密保的，正常统货"
34,iphone 6,36,36,36,36,20,/,36,20,"【备注三】开机屏好，无屏好扣20"
35,iphone 5SE,40,40,40,20,20,40,/,/,"开机，像头坏扣10，指纹坏扣10"
36,iphone 5S,25,25,25,25,17,25,/,17,
37,iphone SE二代,160,100,80,40,40,/,/,/,
38,iphone XS MAX,300,200,140,100,45,120,/,/,"开机屏好，要求面容坏无蓝光扣150，屏老化扣100，组屏算屏坏"
39,iphone XS,300,240,150,80,45,120,/,/,"开机屏好，要求面容坏无蓝光扣150，组屏算屏坏"
40,iphone XR,400,250,150,80,45,120,/,/,"开机屏好，要求面容坏无蓝光扣150，组屏算屏坏"
41,iphone X,200,150,150,80,45,120,/,/,统货需要板靓
42,iphone 4s,25,25,25,25,25,/,/,/,
点数系列1,苹果5/苹果5c,,,,,17,,25,17,5
点数系列2,苹果4/苹果4s,,,,,25,,25,25,6成盖板好点数
点数系列3,3代,,,,,/,,30,/,
点数系列4,假苹果,,,,,/,,5,/,
