系列,序号,型号,开机屏好,开机屏好外屏碎,开机屏坏,不开机,不开机屏好,不带电池,废板-整机,备注
诺基亚8系列,1,8910白屏,100,,70,20,60,,20,外壳明显磕碰变形算不开机
诺基亚8系列,2,8910i彩屏,180,,80,80,80,,25,外壳明显磕碰变形算不开机
诺基亚8系列,3,8800s,200,,50,50,50,,20,"屏幕无老化，功能正常"
诺基亚8系列,4,8800E 4GB白金版,700,,300,50,100,,30,"没后盖扣200，外观不靓扣300"
诺基亚8系列,5,8800e 4GB,500,,200,80,200,,30,"屏幕无老化背光，主板功能正常"
诺基亚8系列,6,8800e 1GB,400,,150,100,50,,30,"屏幕无老化背光，功能正常"
诺基亚经典系列,1,8800d,60,,30,30,30,,10,
诺基亚经典系列,2,8800a黄金版,200,,100,40,80,,40,
诺基亚经典系列,3,8800a,200,,100,40,100,,30,
诺基亚经典系列,4,8800,40,,15,15,15,,10,
诺基亚经典系列,5,8600,30,,30,30,30,,7,
诺基亚经典系列,6,800（三防手机）,130,,30,10,10,,10,
经典数字/经典机,1,7900,50,,7,7,7,,7,
经典数字/经典机,2,6700c,20,,20,20,20,,10,
经典数字/经典机,3,6第二代,30,,30,30,30,,20,
经典数字/经典机,4,1148 越南版,50,,15,7,7,,7,
经典数字/经典机,5,1278,50,,10,6,6,,6,
经典数字/经典机,6,1170,40,,10,10,10,,10,
经典数字/经典机,7,1020,20,,10,10,20,,10,
经典数字/经典机,8,952,25,,25,25,25,,7,
经典数字/经典机,9,808,20,,7,7,7,,7,
诺基亚TA系列,1,诺基亚TA-1553,40,,,8,,35,,
诺基亚TA系列,2,诺基亚TA-1311,130,,,8,,8,,
诺基亚TA系列,3,诺基亚TA-1287,50,,,8,,8,,
Nokia智能系列,1,Nokia x7,30,,30,30,30,,30,
Nokia智能系列,2,X6 有指纹版,90,,90,90,90,,40,
Nokia智能系列,3,X6 无指纹版,30,,30,30,30,,30,
Nokia智能系列,4,Nokia x5,30,,30,30,30,,30,
Nokia智能系列,5,Nokia7全网,30,,30,30,30,,30,
Nokia智能系列,6,Nokia 7plus,30,,30,30,30,,30,
Nokia智能系列,7,Nokia6全网,30,,30,30,30,,20,
Nokia智能系列,8,诺基亚 C31,90,,45,25,/,,25,
E系列,1,N8,40,30,30,/,,,,
E系列,2,E90,30,/,30,30,30,,,
E系列,3,E72,16,/,16,16,16,,,
E系列,4,E71,16,/,16,16,16,,,
E系列,5,E63,15,/,15,15,15,,,
点数系列,1,诺基亚 1322,/,/,/,/,,,,
点数系列,2,6300,15,,15,15,15,,,
点数系列,3,C20 PLUS,15,,15,15,15,,,
点数系列,4,RM-976,7,,7,7,7,,,
点数系列,5,RM-975,7,,7,7,7,,,
点数系列,6,RM-949,7,,7,7,7,,,
点数系列,1,RM-925,7,,7,7,7,,,
点数系列,2,RM-908,7,,7,7,7,,,
点数系列,3,RM-840,7,,7,7,7,,,
点数系列,4,RM-1099,7,,7,7,7,,,
点数系列,5,1096,7,,7,7,7,,,
点数系列,6,1061,7,,7,7,7,,,
点数系列,1,RM-1035,7,,7,7,7,,,
点数系列,2,RM-1020,7,,7,7,7,,,
点数系列,3,N1,7,,7,7,7,,,
点数系列,4,lumia 930,7,,7,7,7,,,
点数系列,5,lumia 830,7,,7,7,7,,,
点数系列,6,C2-01,7,,7,7,7,,,
点数系列,1,950xl,7,,7,7,7,,,
点数系列,2,950ds,7,,7,7,7,,,
点数系列,3,920T,7,,7,7,7,,,
点数系列,4,1520,7,,7,7,7,,,
点数系列,5,1320,7,,7,7,7,,,
点数系列,6,1280,6,,6,6,6,,,
点数系列,1,1200,9,,9,9,9,,,
点数系列,2,1126,7,,7,7,7,,,
点数系列,3,1113,7,,7,7,7,,,
点数系列,4,1085,7,,7,7,7,,,
点数系列,5,1030,7,,7,7,7,,,
点数系列,6,929,7,,7,7,7,,,
点数系列,1,822,7,,7,7,7,,,
点数系列,2,820,7,,7,7,7,,,
点数系列,3,700,7,,7,7,7,,,
点数系列,4,650,7,,7,7,7,,,
点数系列,5,640,7,,7,7,7,,,
点数系列,6,625,6,,6,6,6,,,
点数系列,7,515,7,,7,7,7,,,
点数系列,8,435,7,,7,7,7,,,
