系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
ivvi系列,1,IVVI C5,50,50,50,50,
ivvi系列,2,IVVI P60,50,50,50,50,
ivvi系列,3,Ck3-01,50,50,50,50,
ivvi系列,4,Ss2-01,20,20,20,20,
ivvi系列,5,Ss1-03,20,20,20,20,
ivvi系列,6,Ss1-01,20,20,20,20,三星屏
ivvi系列,1,i3,50,50,50,50,
ivvi系列,2,S6,10,10,10,10,三星屏
ivvi系列,3,Ck2-01,20,20,20,20,
ivvi系列,4,Sk3-02,20,20,20,20,
ivvi系列,5,Sk3-01,20,20,20,20,
ivvi系列,6,Sk1-03,20,20,20,20,
ivvi系列,1,Sk1-01,20,20,20,20,
ivvi系列,2,F2t,16,16,16,16,
ivvi系列,3,F1s,16,16,16,16,
ivvi系列,4,F1,16,16,16,16,
酷玩系列,1,酷玩8,35,35,35,35,
酷玩系列,2,酷玩7,35,35,35,35,
酷玩系列,3,酷玩6c,35,35,35,35,
酷玩系列,4,酷玩6,35,35,35,35,
Y系列,1,酷派y60,85,85,85,85,
Y系列,2,Y803-9,20,20,20,20,
Y系列,3,Y92,20,20,20,20,
Y系列,4,Y91,20,20,20,20,
Y系列,5,Y90,20,20,20,20,
Y系列,6,T2/Y90电信,20,20,20,20,
Y系列,1,Y82,20,20,20,20,
Y系列,2,Y80,20,20,20,20,
Y系列,3,Y75电信,20,20,20,20,
Y系列,4,Y75,20,20,20,20,
Y系列,5,Y72-921,20,20,20,20,
Y系列,6,Y71电信,20,20,20,20,
Y系列,1,Y71,20,20,20,20,
Y系列,2,Y70c,10,10,10,10,
Y系列,3,Y60,10,10,10,10,
Y系列,4,Y1,10,10,10,10,
点数/酷派系列,1,酷派 50s,85,/,/,/,
点数/酷派系列,2,酷派 40s,/,85,85,85,
点数/酷派系列,3,COOL30,/,85,85,85,
点数/酷派系列,4,COOL 20pro 5g,/,85,85,85,
点数/酷派系列,5,Cool20S,/,85,85,85,
点数/酷派系列,6,8721,/,20,20,20,
点数系列,1,M7,50,50,50,50,
点数系列,2,V3,50,50,50,50,
点数系列,3,乐酷双摄像头,35,35,35,35,
点数系列,4,COOL20,85,85,85,85,
点数系列,5,COOL10,85,85,85,85,
点数系列,6,Cool 9,23,23,23,23,
点数系列,1,Cool 2,23,23,23,23,
点数系列,2,A8,30,30,30,30,
点数系列,3,8739,20,20,20,20,
点数系列,4,8737,20,20,20,20,
点数系列,5,8676,20,20,20,20,
点数系列,6,8675,20,20,20,20,
点数系列,1,V2,20,20,20,20,
点数系列,2,乐酷单摄像头,20,20,20,20,
点数系列,3,B770s,16,16,16,16,
点数系列,4,9190l,20,20,20,20,
点数系列,5,8722,20,20,20,20,
点数系列,6,8298,20,20,20,20,
点数系列,1,k2-01,20,20,20,20,
点数系列,2,k2m,20,20,20,20,
点数系列,3,V1,20,20,20,20,
点数系列,4,5360,15,15,15,15,
点数系列,5,Mts-to,16,16,16,16,
点数系列,6,8297,16,16,16,16,
点数系列,1,5367,15,15,15,15,
点数系列,2,5270,15,15,15,15,
点数系列,3,5267,15,15,15,15,
点数系列,4,5263s,15,15,15,15,
点数系列,5,5263,15,15,15,15,
点数系列,6,8718,10,10,10,10,
点数系列,1,9970,10,10,10,10,
点数系列,2,8730l,10,10,10,10,
点数系列,3,8720l,10,10,10,10,
点数系列,4,7295,10,10,10,10,
点数系列,5,7620l,10,10,10,10,
点数系列,6,7295c,10,10,10,10,
点数系列,1,8750,10,10,10,10,
点数系列,2,8732,10,10,10,10,
点数系列,3,8730,10,10,10,10,
点数系列,4,8729,10,10,10,10,
点数系列,5,8717,10,10,10,10,
点数系列,6,8715,10,10,10,10,
点数系列,1,8713,10,10,10,10,
点数系列,2,8712,10,10,10,10,
点数系列,3,8705,10,10,10,10,
点数系列,4,8702,10,10,10,10,
点数系列,5,8670,10,10,10,10,
点数系列,6,7605,10,10,10,10,
点数系列,1,7320,10,10,10,10,
点数系列,2,7298,10,10,10,10,
点数系列,3,7296,10,10,10,10,
点数系列,4,7251,10,10,10,10,
点数系列,5,5956,10,10,10,10,
点数系列,6,5952,10,10,10,10,
点数系列,7,5950,10,10,10,10,
点数系列,8,5891q,10,10,10,10,
点数系列,9,5891,10,10,10,10,
锋尚/其它系列,1,k30 Pro,75,75,75,75,
锋尚/其它系列,2,锋尚50,75,75,75,75,
锋尚/其它系列,3,8295,7,7,7,7,
