系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
S系列,1,S10l,140,140,140,140,"屏好要求屏幕无划痕，中框无缺失，无变形"
S系列,2,S10,140,140,140,140,
S系列,3,S10cl,55,55,55,55,
S系列,4,S10C,55,55,55,55,
S系列,5,S10bl,120,120,120,120,
S系列,6,S9,120,120,120,120,
S系列,1,S11,120,120,120,120,
S系列,2,S8/Gn9011,120,120,120,120,
S系列,3,S11s,120,120,120,120,
S系列,4,S6 Pro/Gn9012,120,120,120,120,
S系列,5,S6/Gn9010,55,55,55,55,
S系列,6,Gn3001/S5,55,55,55,55,
M系列,1,M2017Plus,70,70,70,70,
M系列,2,M7,120,120,120,120,
M系列,3,M6P/Gn8002s,120,120,120,120,
M系列,4,M6/Gn8003,120,120,120,120,
M系列,5,M6SP,50,50,50,50,
M系列,6,M5P/Gn8001,70,70,70,70,
M系列,1,M2017,70,70,70,70,
M系列,2,M40Pro,75,75,75,75,
M系列,3,M12Pro,75,75,75,75,
M系列,4,M11pro,75,75,75,75,
M系列,5,M11s,75,75,75,75,
M系列,6,M5,25,25,25,25,
M系列,7,M3,20,20,20,20,
K系列,1,K6,75,75,75,75,
K系列,2,K7,75,75,75,75,
K系列,3,K3,30,30,30,30,
G系列,1,Gn5007/大金刚2,120,120,120,120,
G系列,2,Gn5005,30,30,30,30,"屏好要求中框无缺失，无变形"
G系列,3,Gn5001/小金刚,30,30,30,30,"屏好要求内外屏全好，中框无缺失，无变形，触摸能触动"
G系列,4,Gn5003/大金刚,55,55,55,55,
G系列,5,Gn5002/M5畅享版,25,25,25,25,
G系列,6,Gn9000l,20,20,20,20,
G系列,1,Gn5006,20,20,20,20,
G系列,2,gn5601,50,50,50,50,
G系列,3,大金刚5,50,50,50,50,
G系列,4,Gn3002,30,30,30,30,
G系列,5,Gn9008/E8,30,30,30,30,
G系列,6,Gn9007,20,20,20,20,
G系列,1,Gn9006,20,20,20,20,
G系列,2,Gn9005,20,20,20,20,
G系列,3,Gn9000,20,20,20,20,
G系列,4,Gn3003,25,25,25,25,
G系列,5,Gn152,10,10,10,10,
G系列,6,Gn715,10,10,10,10,
F系列,1,F6,55,55,55,55,
F系列,2,F5,55,55,55,55,
F系列,3,F205,25,25,25,25,
F系列,4,F109,25,25,25,25,
F系列,5,F105,25,25,25,25,
F系列,6,F40,78,78,78,78,
F系列,1,F106,25,25,25,25,"开机全好,屏幕无划痕,支架无缺少!"
F系列,2,F100,25,25,25,25,"开机全好,屏幕无划痕,支架无缺少!"
F系列,3,F103,25,25,25,25,"开机全好看外屏不破(双卡) 单卡算屏坏"
F系列,4,F303,10,10,10,10,
F系列,5,F301,15,15,15,15,
其他系列,1,W909,120,120,120,120,
其他系列,2,E5,20,20,20,20,
其他系列,3,w900,20,20,20,20,
其他系列,4,E6,20,20,20,20,
其他系列,5,V188,20,20,20,20,"不收单卡，只收双卡"
其他系列,6,T1,10,10,10,10,
其他系列,1,151,10,10,10,10,
其他系列,2,x805,8,8,8,8,
其他系列,3,E3,10,10,10,10,
其他系列,4,V185,10,10,10,10,
其他系列,5,V183,10,10,10,10,
其他系列,6,150,8,8,8,8,
其他系列,7,V182,10,10,10,10,
