序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
1,锤子Pro3,110,110,110,110,
2,坚果R2,180,150,110,110,
3,锤子Pro2s,90,90,90,90,
4,R1,90,90,90,90,
5,坚果Pro3,110,110,110,110,
6,坚果3,90,90,90,90,
7,坚果2,90,90,90,90,
8,锤子Pro2,90,90,90,90,
9,锤子Pro,90,90,90,90,
10,坚果3 64,90,90,90,90,
11,坚果3 128,90,90,90,90,
12,锤子M1,25,25,25,25,
13,坚果,25,25,25,25,
14,锤子T2,20,20,20,20,
15,锤子T1,20,20,20,20,
========================================================
    开机屏好（K1等级）：
    开机进系统，内外屏完好（部分机型以备注为准），屏幕不压伤、不老化，主板功能全正常，底色无要求；三星屏外屏爆内屏好触摸无问题算屏好（组装屏算屏坏），无特殊备注不需要测通讯功能和账户密码。
    开机屏坏（H3等级）：
    开机进系统，屏幕碎裂或缺失，主板无腐蚀、主板无拆修、无压伤、无断板、无变形，无特殊备注不需要测通讯功能和账户密码。
    不开机（F1等级）：
    主板无维修、无腐蚀、无压伤、无断板、无变形，整机零件无缺失（无法进入系统、反复重启均算作不开机）。
    废板（F3等级）：
    压伤严重、腐蚀严重、有进水痕迹、断板、主板变形、主板大修；要求芯片完好。
