系列,序号,型号,开机屏好,开机屏坏,不开机,废板-整机,备注
魅族系列,1,魅族21Pro,650,250,200,200,"屏好的要求无账号 屏老化磕碰扣钱 不开机要求板靓"
魅族系列,2,魅族Lucky08,130,130,130,130,三星屏
魅族系列,3,魅族21,650,250,200,200,"屏好的要求无账号 屏老化磕碰扣钱 不开机要求板靓"
魅族系列,4,魅族20Pro,450,250,200,200,"屏好的要求无账号 屏老化磕碰扣钱 不开机要求板靓"
魅族系列,5,魅族20,450,250,200,200,"屏好的要求无账号 屏老化磕碰扣钱 不开机要求板靓"
魅族系列,6,18 pro,130,130,130,130,屏好要求无账号
魅族系列,1,18,130,130,130,130,
魅族系列,2,17pro,130,130,130,130,
魅族系列,3,17,130,130,130,130,
魅族系列,4,16xs Pro,85,85,85,85,
魅族系列,5,16xs,85,85,85,85,
魅族系列,6,16x,150,150,150,150,
魅族系列,1,16th plus,85,85,85,85,
魅族系列,2,16th,85,85,85,85,
魅族系列,3,16t,85,85,85,85,
魅族系列,4,16S PRO,85,85,85,85,
魅族系列,5,16s,85,85,85,85,
魅族系列,6,16,85,85,85,85,
魅族系列,1,15plus,33,33,33,33,
魅族系列,2,M15,120,120,120,120,金属后盖
魅族系列,3,15,150,150,150,150,金属陶瓷后盖
魅族系列,4,X8,120,120,120,120,塑料后盖
魅族系列,5,V8 (高配),120,120,120,120,"金属后盖V8高配，尺寸比魅族note8小"
魅族系列,6,V8 (低配),45,45,45,45,
魅族系列,1,Pro7plus,33,33,33,33,
魅族系列,2,Pro7,120,120,120,120,
魅族系列,3,Pro6plus,33,33,33,33,
魅族系列,4,Pro6,45,45,45,45,
魅族系列,5,Pro6s,45,45,45,45,
魅族系列,6,Mx6,45,45,45,45,
魅族系列,7,Mx5pro,20,20,20,20,三星屏
魅族系列,8,Mx5,20,20,20,20,三星屏
魅族note系列,1,魅族note16,150,150,150,150,
魅蓝系列,1,魅蓝20,120,120,120,120,
魅蓝系列,2,魅蓝S6,45,45,45,45,
魅蓝系列,3,魅蓝Note9,140,140,140,140,
魅蓝系列,4,魅蓝Note8,85,85,85,85,
魅蓝系列,5,魅蓝Note6,65,65,65,65,
魅蓝系列,6,魅蓝E3,120,120,120,120,
魅蓝系列,7,魅蓝E2,85,85,85,85,
魅蓝系列,8,魅蓝E,65,65,65,65,
点数系列,1,魅蓝U20,33,33,33,33,
点数系列,2,魅蓝U10,33,33,33,33,
点数系列,3,魅蓝Note5,65,65,65,65,
点数系列,4,魅蓝Note3,45,45,45,45,
点数系列,5,魅蓝Note2,33,33,33,33,
点数系列,6,魅蓝Note2电信,33,33,33,33,
点数系列,1,魅蓝Note1,33,33,33,33,
点数系列,2,魅蓝Max,65,65,65,65,
点数系列,3,魅蓝A5,33,33,33,33,
点数系列,4,魅蓝10,65,65,65,65,
点数系列,5,魅蓝6,45,45,45,45,
点数系列,6,魅蓝6T,45,45,45,45,
点数系列,1,魅蓝5电信,33,33,33,33,
点数系列,2,魅蓝5,33,33,33,33,
点数系列,3,魅蓝3,33,33,33,33,
点数系列,4,魅蓝2,33,33,33,33,
点数系列,5,魅蓝1,15,15,15,15,
点数系列,6,Mx4 Pro,20,20,20,20,
点数系列,1,Mx4,20,20,20,20,
点数系列,2,Mx3,20,20,20,20,
点数系列,3,Mx2,15,15,15,15,
点数系列,4,Mx1,15,15,15,15,
点数系列,5,魅蓝5s,33,33,33,33,
点数系列,6,魅蓝3s,33,33,33,33,
点数系列,7,魅蓝X,60,60,60,60,
点数系列,8,魅蓝Metal/馒头,28,28,28,28,
点数系列,9,魅族电信系列,33,33,33,33,
